SubscriptionId, Timestamp, LogLevel, Tag
a830d291-bb6d-4540-b39a-a0eedfe03dfe, , [0, S_VIEW_PLAN]
a830d291-bb6d-4540-b39a-a0eedfe03dfe, , [0, S_VIEW_PLAN]
a830d291-bb6d-4540-b39a-a0eedfe03dfe, , [0, N_PLANDETAILS_OK]
a830d291-bb6d-4540-b39a-a0eedfe03dfe, , [0, A_REPORTS]
a830d291-bb6d-4540-b39a-a0eedfe03dfe, , [0, P_STOCK_AVEDIT]
a830d291-bb6d-4540-b39a-a0eedfe03dfe, , [0, D_PRODUCT_CANCEL]
a830d291-bb6d-4540-b39a-a0eedfe03dfe, , [0, A_CUSTOMERS]
a830d291-bb6d-4540-b39a-a0eedfe03dfe, , [0, A_PRODUCTS]
a34479af-8025-422a-8e07-04e6bc72d495, , [0, B_BASKET_4]
a34479af-8025-422a-8e07-04e6bc72d495, , [0, D_PAYMENT_TCLOSE]
a34479af-8025-422a-8e07-04e6bc72d495, , [0, N_PLANDETAILS_OK]
a34479af-8025-422a-8e07-04e6bc72d495, , [0, S_BASKET_CHECKOUT]
a34479af-8025-422a-8e07-04e6bc72d495, , [0, D_PAYMENT_EDITCUST]
a34479af-8025-422a-8e07-04e6bc72d495, , [0, D_CUSTOMER_CANCEL]
a34479af-8025-422a-8e07-04e6bc72d495, , [0, D_PAYMENT_REMOVE]
a34479af-8025-422a-8e07-04e6bc72d495, , [0, D_PAYMENT_ADD]
a34479af-8025-422a-8e07-04e6bc72d495, , [0, D_PAYMENT_EDITCUST]
a34479af-8025-422a-8e07-04e6bc72d495, , [0, S_BASKET_CHECKOUT]
a34479af-8025-422a-8e07-04e6bc72d495, , [0, D_CUSTOMER_CANCEL]
a34479af-8025-422a-8e07-04e6bc72d495, , [0, D_PAYMENT_TCLOSE]
a34479af-8025-422a-8e07-04e6bc72d495, , [0, B_BASKET_6]
5362fce4-7016-4fe6-97fd-236940c55c08, , [0, D_PRODUCT_SAVE]
5362fce4-7016-4fe6-97fd-236940c55c08, , [0, S_VERIFY_MOBILE]
a830d291-bb6d-4540-b39a-a0eedfe03dfe, , [0, D_CONFIRM_YES]
a830d291-bb6d-4540-b39a-a0eedfe03dfe, , [0, A_BACK]
a830d291-bb6d-4540-b39a-a0eedfe03dfe, , [0, A_PRODUCTS]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, D_PRODUCT_CANCEL]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, P_STOCK_ADD]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, A_BACK]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, D_PAYMENT_REPORTS]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, R_SD_OPEN]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, S_BASKET_CHECKOUT]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, R_SD_OPEN]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, R_SD_CLOSE]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, P_STOCK_AVEDIT]
969de8a5-513f-4ff4-8027-0dce32799127, , [0, P_STOCK_AVEDIT]
b00d9cdc-a1f9-49dd-aafa-4b8d664d4a7d, , [0, N_VPAWARN_NO]
b00d9cdc-a1f9-49dd-aafa-4b8d664d4a7d, , [0, N_PLANPAYMENT_QR]
b00d9cdc-a1f9-49dd-aafa-4b8d664d4a7d, , [0, A_BACK]
b00d9cdc-a1f9-49dd-aafa-4b8d664d4a7d, , [3, Trying to play video that is already playing.]
b00d9cdc-a1f9-49dd-aafa-4b8d664d4a7d, , [0, P_STOCK_ADD]
